ticker,company_name,weight,as_of_date,survivorship_bias_flag
APLS,APELLIS PHARMACEUTICALS INC,1.800729,2026-04-14,True
RVMD,REVOLUTION MEDICINES INC,1.508093,2026-04-14,True
MDGL,MADRIGAL PHARMACEUTICALS INC,1.341998,2026-04-14,True
ALKS,ALKERMES PLC,1.339054,2026-04-14,True
TGTX,TG THERAPEUTICS INC,1.327238,2026-04-14,True
APGE,APOGEE THERAPEUTICS INC,1.279685,2026-04-14,True
BEAM,BEAM THERAPEUTICS INC,1.275039,2026-04-14,True
SMMT,SUMMIT THERAPEUTICS INC,1.267662,2026-04-14,True
SRRK,SCHOLAR ROCK HOLDING CORP,1.263546,2026-04-14,True
CRSP,CRISPR THERAPEUTICS AG,1.209964,2026-04-14,True
ARWR,ARROWHEAD PHARMACEUTICALS IN,1.209684,2026-04-14,True
BBIO,BRIDGEBIO PHARMA INC,1.20179,2026-04-14,True
KYMR,KYMERA THERAPEUTICS INC,1.196562,2026-04-14,True
INSM,INSMED INC,1.19458,2026-04-14,True
EXEL,EXELIXIS INC,1.186525,2026-04-14,True
TWST,TWIST BIOSCIENCE CORP,1.184672,2026-04-14,True
PCVX,VAXCYTE INC,1.182606,2026-04-14,True
PTCT,PTC THERAPEUTICS INC,1.181494,2026-04-14,True
PRAX,PRAXIS PRECISION MEDICINES I,1.176264,2026-04-14,True
UTHR,UNITED THERAPEUTICS CORP,1.168533,2026-04-14,True
MIRM,MIRUM PHARMACEUTICALS INC,1.158774,2026-04-14,True
KRYS,KRYSTAL BIOTECH INC,1.155619,2026-04-14,True
CYTK,CYTOKINETICS INC,1.155362,2026-04-14,True
CELC,CELCUITY INC,1.146122,2026-04-14,True
ALNY,ALNYLAM PHARMACEUTICALS INC,1.145324,2026-04-14,True
TVTX,TRAVERE THERAPEUTICS INC,1.143141,2026-04-14,True
NUVL,NUVALENT INC A,1.141802,2026-04-14,True
NTRA,NATERA INC,1.131308,2026-04-14,True
CGON,CG ONCOLOGY INC,1.124213,2026-04-14,True
COGT,COGENT BIOSCIENCES INC,1.115225,2026-04-14,True
PTGX,PROTAGONIST THERAPEUTICS INC,1.114281,2026-04-14,True
INCY,INCYTE CORP,1.112186,2026-04-14,True
HALO,HALOZYME THERAPEUTICS INC,1.110148,2026-04-14,True
FOLD,AMICUS THERAPEUTICS INC,1.108709,2026-04-14,True
ACLX,ARCELLX INC,1.106778,2026-04-14,True
IONS,IONIS PHARMACEUTICALS INC,1.104218,2026-04-14,True
VERA,VERA THERAPEUTICS INC,1.08686,2026-04-14,True
VKTX,VIKING THERAPEUTICS INC,1.078708,2026-04-14,True
ARQT,ARCUTIS BIOTHERAPEUTICS INC,1.078421,2026-04-14,True
