iShares Biotechnology ETF
Fund Holdings as of,"Apr 13, 2026"
Inception Date,"Feb 05, 2001"
Shares Outstanding,"48,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GILD","GILEAD SCIENCES INC","Health Care","Equity","630,429,171.49","7.58","630,429,171.49","4,534,483.00","139.03","United States","NASDAQ","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","608,811,335.92","7.32","608,811,335.92","1,740,356.00","349.82","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","598,320,583.25","7.19","598,320,583.25","1,359,665.00","440.05","United States","NASDAQ","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","568,342,700.64","6.83","568,342,700.64","761,384.00","746.46","United States","NASDAQ","USD","1.00","USD","-"
"ALNY","ALNYLAM PHARMACEUTICALS INC","Health Care","Equity","327,576,762.00","3.94","327,576,762.00","983,714.00","333.00","United States","NASDAQ","USD","1.00","USD","-"
"ARGX","ARGENX SE ADR","Health Care","Equity","277,567,470.95","3.34","277,567,470.95","342,985.00","809.27","Belgium","NASDAQ","USD","1.00","USD","-"
"INSM","INSMED INC","Health Care","Equity","240,991,369.74","2.90","240,991,369.74","1,594,491.00","151.14","United States","NASDAQ","USD","1.00","USD","-"
"NTRA","NATERA INC","Health Care","Equity","198,810,526.20","2.39","198,810,526.20","984,698.00","201.90","United States","NASDAQ","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","193,222,319.43","2.32","193,222,319.43","1,095,582.00","176.37","United States","NASDAQ","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","Health Care","Equity","183,005,314.23","2.20","183,005,314.23","316,821.00","577.63","United States","NASDAQ","USD","1.00","USD","-"
"RVMD","REVOLUTION MEDICINES INC","Health Care","Equity","175,611,100.80","2.11","175,611,100.80","1,288,416.00","136.30","United States","NASDAQ","USD","1.00","USD","-"
"ONC","BEONE MEDICINES AG","Health Care","Equity","162,399,674.52","1.95","162,399,674.52","531,343.00","305.64","China","NASDAQ","USD","1.00","USD","-"
"ILMN","ILLUMINA INC","Health Care","Equity","141,166,189.20","1.70","141,166,189.20","1,111,895.00","126.96","United States","NASDAQ","USD","1.00","USD","-"
"INCY","INCYTE CORP","Health Care","Equity","140,843,279.85","1.69","140,843,279.85","1,474,027.00","95.55","United States","NASDAQ","USD","1.00","USD","-"
"MRNA","MODERNA INC","Health Care","Equity","136,939,894.00","1.65","136,939,894.00","2,702,050.00","50.68","United States","NASDAQ","USD","1.00","USD","-"
"ROIV","ROIVANT SCIENCES LTD","Health Care","Equity","105,796,298.55","1.27","105,796,298.55","3,654,449.00","28.95","United States","NASDAQ","USD","1.00","USD","-"
"GMAB","GENMAB SPONSORED ADR","Health Care","Equity","100,670,672.40","1.21","100,670,672.40","3,569,882.00","28.20","Denmark","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","96,857,742.93","1.16","96,857,742.93","1,243,839.00","77.87","United States","NASDAQ","USD","1.00","USD","-"
"NBIX","NEUROCRINE BIOSCIENCES INC","Health Care","Equity","92,280,044.32","1.11","92,280,044.32","730,526.00","126.32","United States","NASDAQ","USD","1.00","USD","-"
"IONS","IONIS PHARMACEUTICALS INC","Health Care","Equity","90,731,546.95","1.09","90,731,546.95","1,210,561.00","74.95","United States","NASDAQ","USD","1.00","USD","-"
"MEDP","MEDPACE HOLDINGS INC","Health Care","Equity","85,524,874.90","1.03","85,524,874.90","170,630.00","501.23","United States","NASDAQ","USD","1.00","USD","-"
"ASND","ASCENDIS PHARMA ADR REPRESENTING","Health Care","Equity","84,845,028.00","1.02","84,845,028.00","341,360.00","248.55","Denmark","NASDAQ","USD","1.00","USD","-"
"EXEL","EXELIXIS INC","Health Care","Equity","84,484,605.76","1.02","84,484,605.76","1,879,106.00","44.96","United States","NASDAQ","USD","1.00","USD","-"
"MDGL","MADRIGAL PHARMACEUTICALS INC","Health Care","Equity","81,996,634.95","0.99","81,996,634.95","155,985.00","525.67","United States","NASDAQ","USD","1.00","USD","-"
"BMRN","BIOMARIN PHARMACEUTICAL INC","Health Care","Equity","77,830,925.76","0.94","77,830,925.76","1,418,202.00","54.88","United States","NASDAQ","USD","1.00","USD","-"
"TECH","BIO TECHNE CORP","Health Care","Equity","66,547,137.14","0.80","66,547,137.14","1,156,738.00","57.53","United States","NASDAQ","USD","1.00","USD","-"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Health Care","Equity","64,856,729.46","0.78","64,856,729.46","363,669.00","178.34","United States","NYSE","USD","1.00","USD","-"
"PCVX","VAXCYTE INC","Health Care","Equity","64,757,966.00","0.78","64,757,966.00","1,048,712.00","61.75","United States","NASDAQ","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","62,465,145.49","0.75","62,465,145.49","979,231.00","63.79","United States","NASDAQ","USD","1.00","USD","-"
"PRAX","PRAXIS PRECISION MEDICINES INC","Health Care","Equity","62,103,153.00","0.75","62,103,153.00","195,909.00","317.00","United States","NASDAQ","USD","1.00","USD","-"
